"","lyrics","song","artist"
"1","Run that back, Turbo

Muddy poured up (Poured up), got a cutter (Cutter)
Lotta orders (Orders), dollars, quarters (Ayy)
Wrist water (Ayy), Rich Porter (Ayy)
Your bitch on now (On now), Gunna Wunna (Wunna)
Commas, commas (Racks), hundreds, hey (Hey)
I'm a stoner (Stoner), sauna, summer (Hey)
Benihana ('Hana), cook up, hey (Hey)
My crew paid (Paid), surf a wave (Wave)

Pop it (Pop it)
I been sippin' Akorn, rich nigga, I'm A1
AP blacker than Akon (Uh), baby butter pecan (Uh)
Billionaire, I want a refund (Uh)
Breakin' her back 'til I see the sun
I fucked the bitch on the jet (Jet)
Cuban baguette on her neck (Her neck)
She only call me for sex (Sex)
Speed in the 'Vette (Speed in the 'Vette)
I still got my foot on they neck, uh (They neck)
Gunna put 'em to rest (To rest)
I used to trap at the Exxon (Exxon)
For the slum, gotta keep you a gun
I'm not a regular pedestrian
Fuckin' hoes by the week every month
She wan' me stick it deep in her gut
Let me know if you with it or what
If I catch a body, I keep it on hush (Hush)
You pussies gon' tell in a rush
Come to the spot and the feeling is plush (Plush)
I don't fuck with these niggas, a dub

Muddy poured up (Poured up), got a cutter (Cutter)
Lotta orders (Orders), dollars, quarters (Ayy)
Wrist water (Ayy), Rich Porter (Ayy)
Your bitch on now (On now), Gunna Wunna (Wunna)
Commas, commas (Racks), hundreds, hey (Hey)
I'm a stoner (Stoner), sauna, summer (Hey)
Benihana ('Hana), cook up, hey (Hey)
My crew paid (Paid), surf a wave (Wave)

Surf (Surf), surf (Surf), surf (Surf), surf (Wave)
Pop a Perc' (Perc'), Papa Smurf (Smurf)
Lotta dirt, I can call up Durk (Lil Durk)
Chrome Heart shirts (Shirts), millions off merch (Merch)
Sippin', drippin', tippin', trippin' (Ayy)
Women, hey, linen, hey (Ayy)
Dealin', killin', spinnin', winnin'
Grillin', hey (Hey), feelin' paid (Paid)

Muddy poured up (Poured up), got a cutter (Cutter)
Lotta orders (Orders), dollars, quarters (Ayy)
Wrist water (Ayy), Rich Porter (Ayy)
Your bitch on now (On now), Gunna Wunna (Wunna)
Commas, commas (Racks), hundreds, hey (Hey)
I'm a stoner (Stoner), sauna, summer (Hey)
Benihana ('Hana), cook up, hey (Hey)
My crew paid (Paid), surf a wave (Wave)
","Wunna","Gunna"
"2","Run that back, Turbo!

You can get the biggest Chanel bag in the store if you want it
I gave 'em the drip, they sucked it up, I got 'em on it
I bought a new Patek, I had the watch, so I two-toned 'em
Taking these drugs, I'm gon' be up until the morning
That ain't your car, you just a leaser, you don't own it
If I'm in the club, I got that fire when I'm performing
The backend just came in, in all hundreds
Vibes galore, cute shit, they all on us
I'm from Atlanta, where young niggas run shit
I know they hating on me, but I don't read comments
Whenever I tell her to come, she coming
Whenever it's smoke, we ain't running

Drip too hard, don't stand too close
You gon' fuck around and drown off this wave
Doing all these shows, I've been on the road
I don't care where I go, long as I get paid
Bad lil' vibe, she been on my mind
Soon as I get back, she getting slayed
Do this all the time, this ain't no surprise
Every other night, another movie get made

Drip too hard, don't stand too close
You gon' fuck around and drown off this wave
Doing all these shows, I've been on the road
I don't care where I go, long as I get paid
Bad lil' vibe, she been on my mind
Soon as I get back, she getting slayed
Do this all the time, this ain't no surprise
Every other night, another movie get made (yeah)

Every other night, another dollar getting made
Every other night started with a good day
I feel like a child, I got boogers in the face
Diamonds dancing in the dial, like this shit is a parade
I don't want your chain, Young GunWun not a slave
I had to draw the line, too many bitches getting saved
TSA harass me, so I took a private plane
These pussy niggas lacking, why I'm working on my aim
Drip too hard (too hard), charge it to the card (to the card)
Designer to the ground, I can barely spell the names (uh)
Drip too hard, caution on the floor
You gon' fuck around and drown tryna ride a nigga wave

Drip too hard, don't stand too close
You gon' fuck around and drown off this wave
Doing all these shows, I've been on the road
I don't care where I go, long as I get paid
Bad lil' vibe, she been on my mind
Soon as I get back, she getting slayed
Do this all the time, this ain't no surprise
Every other night, another movie get made

Drip too hard, don't stand too close
You gon' fuck around and drown off this wave
Doing all these shows, I've been on the road
I don't care where I go, long as I get paid
Bad lil' vibe, she been on my mind
Soon as I get back, she getting slayed
Do this all the time, this ain't no surprise
Every other night, another movie get made
","Drip too Hard","Gunna and Lil Baby"
"3","Yeah
EarDrummers
Bad bitches is the-
Mike WiLL Made-It
Yeah

I don't got no type (nah)
Bad bitches is the only thing that I like (woo)
You ain't got no life (nah)
Cups with the ice and we do this every night (hey)

I ain't check the price (I got it)
I make my own money, so I spend it how I like (oo)
I'm just livin' life (hey, hey)
And let my mama tell it, nigga, I ain't livin' right (no)

Chop the top off the Porsche, that's a headless horse (hey, hey)
Extendo long as an extension cord (damn, cord)
Bitch, I ball like Jordan (Jordan), and I play full court (I play full court)
And if you not my type then you know I got to keep this shit short (gotta keep this shit short with you, ayy)

What you know about a check?
What you got up in your pocket?
What you spendin' when you shoppin', dawg? (Hey)
Why you wanna go flex? Like you all in the mix
Like you got some shit poppin' off (hey)

I got some models that you see up in the movies (hey, hey)
And they wanna make a flick for the camera (yeah)
Wanna be Kim Kardashian (hey)
Heard I was livin' like a bachelor (woo)

I don't got no type (nah)
Bad bitches is the only thing that I like (woo)
You ain't got no life (nah)
Cups with the ice and we do this every night (hey)

I ain't check the price (I got it)
I make my own money, so I spend it how I like (woo)
I'm just livin' life (hey, hey)
And let my mama tell it, nigga, I ain't livin' right (no)

Spend it how I like (yeah)
Sinnin' every night (yeah)
Push-start the whip (hey)
Brought it straight to life (come to life)

Blowin' on the kush (blowin')
'Til I'm out of sight (I'm gone)
I don't check the price (bitch)
All I do is swipe (woo)
She said, ""What's your type?"" (Yeah)

I said, ""I like what I like"" (yeah)
I don't second-guess (nah)
I just roll the dice (keep it movin')
Keep your two cents (hey)
Take your own advice (hey)
I've been livin' life (yeah)
Like I lived twice

I don't got no type (nah)
Bad bitches is the only thing that I like (woo)
You ain't got no life (nah)
Cups with the ice and we do this every night (hey)

I ain't check the price (I got it)
I make my own money, so I spend it how I like (woo)
I'm just livin' life (hey, hey)
And let my mama tell it, nigga, I ain't livin' right (no)

I don't got no type
I don't got no type
And let my mama tell it, nigga, I ain't livin' right
","No Type","Rae Sremmurd"
"4","Young Money! You dig? Mack I'm going in

A millionaire
I'm a Young Money millionaire, tougher than Nigerian hair
My criteria compared to your career just isn't fair
I'm a venereal disease like a menstrual bleed
Through the pencil I leak on the sheet of the tablet in my mind
Cause I don't write shit cause I ain't got time
Cause my seconds, minutes, hours go to the almighty dollar
And the almighty power of that ch-cha-cha-chopper
Sister, brother, son, daughter, father, mother-fuck a copper
Got the Maserati dancing on the bridge, pussy popping
Tell the coppers ha-ha-ha-ha, you can't catch 'em, you can't stop 'em
I go by them goon rules, if you can't beat 'em then you pop 'em, you can't man 'em then you mop 'em, you can't stand 'em then you drop 'em
You pop 'em cause we pop 'em like Orville Redenbacher

Mothafucka, I'm ill

A million here a million there
Sicilian bitch with long hair, with coke in her derriere
Like smoke in the thinnest air, I open the Lamborghini
Hoping them crackers see me like look at that bastard Weezy
He's a beast, he's a dog, he's a mothafuckin' problem
Okay, you're a goon but what's a goon to a goblin?
Nothing, nothing, you ain't scaring nothing
On some faggot bullshit, call 'em Dennis Rodman
Call me what you want, bitch, call me on my Sidekick
Never answer when it's private, damn I hate a shy bitch
Don't you hate a shy bitch? Yeah, I ate a shy bitch
And she ain't shy no more, she changed her name to My Bitch
Yeah, nigga, that's my bitch, so when she ask
For the money when you through, don't be surprised, bitch
It ain't trickin' if you got it
But you like a bitch with no ass: you ain't got shit
Motherfucka I'm ill, not sick and I'm okay, but my watch sick
Yeah, my drop sick, yeah, my Glock sick, and my knot thick, I'm it

Mothafucka, I'm ill

They say I'm rapping like B.I.G, Jay, and 2Pac
André 3000, where is Erykah Badu at? Who that?
Who that said they gon' beat Lil' Wayne?
My name ain't Bic, but I keep that flame, man
Who that one that do that boy, you knew that, true that, swallow
And I be the shit, now you got loose bowels
I don't O U like two vowels
But I would like for you to pay me by the hour
And I'd rather be pushing flowers
Than to be in the pen sharing showers
Tony told us this world was ours
And the Bible told us every girl was sour
Don't play in her garden and don't smell her flower
Call me Mr. Carter or Mr. Lawn Mower
Boy, I got so many bitches like I'm Mike Lowrey
Even Gwen Stefani said she couldn't doubt me
Mothafucka, I say life ain't shit without me
Chrome lips poking out the coupe, look like it's pouting
I do what I do and you do what you can do about it
Bitch, I can turn a crack rock into a mountain, dare me
Don't you compare me cause there ain't nobody near me
They don't see me but they hear me, they don't feel me, but they fear me
I'm illy, C3, 3 Peat
","A Milli","Lil Wayne"
"5","Feel it comin' in the air (yeah)
Hear the screams from everywhere (yeah)
I'm addicted to the thrill (I'm ready)
It's a dangerous love affair (come on)
Can't be scared when it goes down
Got a problem, tell me now
Only thing that's on my mind
Is who's gonna run this town tonight
Is who's gonna run this town tonight
We gon' run this town

We are, yeah, I said it, we are
This is Roc Nation, pledge your allegiance
Get your fatigues on, all black everything
Black cards, black cars, all black everything
And our girls are blackbirds ridin' with they Dillingers
I get more in depth if you boys really real enough
This is la Familia, I'll explain later
But for now, let me get back to this paper

I'm a couple bands down and I'm tryin' to get back
I gave Doug a grip and lost a flip for five stacks
Yeah, I'm talkin' five comma, six zeros, dot zero, here Doug
Back to runnin' circles 'round n-, now we squared up
Hold up

Life's a game but it's not fair
I break the rules so I don't care
So I keep doin' my own thing
Walkin' tall against the rain
Victory's within the mile
Almost there, don't give up now
Only thing that's on my mind
Is who's gonna run this town tonight

Hey-hey-hey-hey-hey-hey
Hey-hey-hey-hey-hey
Hey-hey-hey-hey-hey-hey
Is who's gonna run this town tonight (hey-hey-hey-hey-hey)

We are, yeah, I said it, we are
You can call me Caesar, in a dark Caesar
Please follow the leader, so Eric B we are
Microphone fiend, this the return of the God

Peace, God, ah, ah, it ain't no nobody fresher
I'm in Maison, ah, Martin Margiela
On the table, screamin'
""F- the other side, they're jealous""
We got a banquette full of broads
They got a table full of fellas (eww)

And they ain't spendin' no cake
They should throw their hand in
'Cause they ain't got no spades (eww)
My whole team got dough
So my banquette is lookin' like millionaires' row (eww)

Life's a game but it's not fair
I break the rules so I don't care
So I keep doin' my own thing
Walkin' tall against the rain
Victory's within the mile
Almost there, don't give up now
Only thing that's on my mind
Is who's gonna run this town tonight

Hey-hey-hey-hey-hey-hey
Hey-hey-hey-hey-hey
Hey-hey-hey-hey-hey-hey
Is who's gonna run this town tonight (hey-hey-hey-hey-hey)

It's crazy how you can go from bein' Joe Blow
To everybody on your d-, no h-
I bought my whole family whips, no Volvos
Next time I'm in church, please, no photos
Police escorts, everybody passports
This the life that everybody ask for
This the fast life, we are on a crash course
What you think I rap for, to push a f- RAV4?

But I know that if I stay stunting
All these girls only gon' want one thing
I can spend my whole life goodwill hunting
Only good gon' come is this good when I'm c-
She got a ass that'll swallow up a G-string
And up top, uh, two bee stings
And I'm beasting off the Riesling
And my n- just made it out the precinct

We give a damn about the drama that your dude bring
I'm just tryin' to change the color on your mood ring
Reebok, baby, you need to try some new things
Have you ever had shoes without shoe strings?
""What's that, Ye?"", ""Baby, these heels""
""Is that a May- what?"", ""Baby, these wheels""
You trippin' when you ain't sippin', have a refill
You feelin' like you runnin', huh? Now you know how we feel

What's up?
Hey-hey-hey-hey-hey-hey
Hey-hey-hey-hey-hey
Hey-hey-hey-hey-hey-hey
Hey-hey-hey-hey-hey
What's up?
Hey-hey-hey-hey-hey-hey
Hey-hey-hey-hey-hey
Hey-hey-hey-hey-hey-hey
We gon' run this town tonight

What's up?
","Run this Town","Jay Z feat Rihanna and Kanye West"
"6","This ain't Texas (ooh)
Ain't no hold 'em (hey)
So lay your cards down, down, down, down
So park your Lexus (ooh)
And throw your keys up (hey)
Stick around, 'round, 'round, 'round, 'round (stick around)

And I'll be damned if I can't slow-dance with you
Come pour some sugar on me, honey too
It's a real-life boogie and a real-life hoedown
Don't be a bitch, come take it to the floor now, woo, ha

There's a tornado (there's a tornado)
In my city (in my city)
Hit the basement (hit the basement)
That shit ain't pretty (shit ain't pretty)
Rugged whiskey (rugged whiskey)
'Cause we survivin' ('cause we survivin')
Puffin' red-cup kisses, sweet redemption, passin' time, yeah

Ooh, one step to the right
We headed to the dive bar we always thought was nice
Ooh, run me to the left
Then spin me in the middle, boy, I can't read your mind

This ain't Texas (oh)
Ain't no hold 'em (hey)
So lay your cards down, down, down, down
So park your Lexus (ooh)
And throw your keys up (hey)
Stick around, 'round, 'round, 'round, 'round (stick around)

And I'll be damned if I can't slow-dance with you
Come pour some sugar on me, honey too
It's a real-life boogie and a real-life hoedown
Don't be a bitch, come take it to the floor now, woo
And I'll be damned if I cannot dance with you
Come pour some liquor on me, honey too
It's a real-life boogie and a real-life hoedown
Don't be a bitch, come take it to the floor now, woo

(Woo-hoo)
(Woo-hoo)
(Woo-hoo)

There's a heatwave (there's a heatwave)
Comin' at us (comin' at us)
Too hot to think straight (too hot to think straight)
Too cold to panic (cold to panic)
All of the problems
Just feel dramatic (just feel dramatic)
And now we're runnin' to the first bar that we find, yeah

Ooh, one step to the right
We headed to the dive bar we always thought was nice
Ooh, you run to the left
Just with me in the middle, boy, I can't read your mind

This ain't Texas (oh)
Ain't no hold 'em (hey)
So lay your cards down, down, down, down (oh)
So park your Lexus (hey)
Throw your keys up (hey)
Stick around, 'round, 'round, 'round, 'round (stick around)

And I'll be damned if I can't slow-dance with you
Come pour some sugar on me, honey too
It's a real-life boogie and a real-life hoedown
Don't be a bitch, come take it to the floor now, woo
And I'll be damned if I cannot dance with you
Come pour some liquor on me, honey too
It's a real-life boogie and a real-life hoedown
Don't be ass, come take it to the floor now, ooh

Take it to the floor now, ooh (oops, spurs, boots)
To the floor now, ooh, ooh, ooh, ooh (tap back, oops, shoot)
Come take it to the floor now, ooh
And I'll be damned if I cannot dance with you
Baby, pour that sugar and liquor on me too (spurs, spurs, boots)
Sologenic, photogenic, shoot
","Texas Hold 'Em","Beyonce"
"7","Yeah

I've been tryna call
I've been on my own for long enough
Maybe you can show me how to love, maybe
I'm going through withdrawals
You don't even have to do too much
You can turn me on with just a touch, baby

I look around and
Sin City's cold and empty (oh)
No one's around to judge me (oh)
I can't see clearly when you're gone

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust
(Hey, hey, hey)

I'm running out of time
'Cause I can see the sun light up the sky
So I hit the road in overdrive, baby, oh

The city's cold and empty (oh)
No one's around to judge me (oh)
I can't see clearly when you're gone

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust

I'm just walking by to let you know (by to let you know)
I can never say it on the phone (say it on the phone)
Will never let you go this time (ooh)

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
(Hey, hey, hey)

(Hey, hey, hey)

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
","Blinding Lights","The Weeknd"
"8","Pullin' out the coupe at the lot
Told 'em fuck 12, fuck SWAT
Bustin' all the bells out the box
I just hit a lick with the box
Had to put the stick in a box, mmh

Pour up the whole damn seal, I'ma get lazy
I got the mojo deals, we been trappin' like the '80s
She sucked a nigga soul, gotta Cash App
Told 'em wipe a nigga nose, say slatt, slatt
I won't never sell my soul, and I can back that
And I really wanna know, where you at, at?

I was out back, where the stash at?
Cruise the city in a bulletproof Cadillac (skrrt)
'Cause I know these niggas after where the bag at (yeah)
Gotta move smarter, gotta move harder
Niggas try to get me for my water
I'll lay his ass down on my son, or my daughter
I had the Draco with me, Dwayne Carter
Lotta niggas out here playin', ain't ballin'

I done out my whole arm in the rim, Vince Carter (yeah)
And I know probably get a key for the quarter
Shawty barely seen in double C's, I bought 'em
Got a bitch that's looking like Aaliyah, she a model
I got the pink slip, all my whips is key-less
Compton, I'm about to get the key to the city
Patek like the sea, forgive me

Pullin' out the coupe at the lot
Told 'em fuck 12, fuck SWAT
Bustin' all the bells out the box
I just hit a lick with the box
Had to put the stick in a box, mmh

Pour up the whole damn seal, I'ma get lazy
I got the mojo deals, we been trappin' like the '80s
She sucked that nigga soul, gotta Cash App
Told 'em wipe a nigga nose, say slatt, slatt
I won't never sell my soul, and I can back that
And I really wanna know, where you at, at? Huh

Ha-ha-ha, I been movin' 'em out
If Steelo with me, then he got the blues in the pouch (yeah)
Took her to the forrest, put wood in her mouth
Bitch don't wear no shoes in my house
The private I'm flyin' in, I never wanna fly again
I'll take my chances in traffic (yeah)
She suckin' on dick, no hands with it
I just made the Rollie plain like a landing-strip

I'm a 2020 president candidate
I done put a hundred bands on Zimmerman, shit
I been movin' real gangsta', so that's why she pick a Crip
Shawty call me Crisco, 'cause I pop my shit
Got it out the mud, there's nothin' you can tell me, yeah
When I had the drugs, I was street-wealthy, yeah

Pullin' out the coupe at the lot
Told 'em fuck 12, fuck SWAT
Bustin' all the bells out the box
I just hit a lick with the box
Had to put the stick in a box, mmh

Pour up the whole damn seal, I'ma get lazy
I got the mojo deals, we been trappin' like the '80s
She sucked a nigga soul, gotta Cash App
Told 'em wipe a nigga nose, say slatt, slatt
I won't never sell my soul, and I can back that
And I really wanna know, where you at, at?
","The Box","Roddy Ricch"
"9","If you don't wanna see me

Did a full 180, crazy
Thinking 'bout the way I was
Did the heartbreak change me? Maybe
But look at where I ended up
I'm all good, already
So moved on, it's scary
I'm not where you left me at all, so

If you don't wanna see me dancing with somebody

If you wanna believe that anything could stop me

Don't show up, don't come out
Don't start caring about me now
Walk away, you know how
Don't start caring about me now

Aren't you the guy who tried to
Hurt me with the word ""goodbye""?
Though it took some time to survive you
I'm better on the other side
I'm all good already
So moved on, it's scary
I'm not where you left me at all, so

If you don't wanna see me dancing with somebody

If you wanna believe that anything could stop me

(Don't, don't, don't)

Don't show up, don't come out
Don't start caring about me now
Walk away, you know how
Don't start caring about me now ('bout me now, 'bout me)

Up, up
Don't come out, out, out
Don't show up, up, up
Don't start now (oh)
Up, up
Don't come out, out
I'm not where you left me at all, so

If you don't wanna see me dancing with somebody
If you wanna believe that anything could stop me

Don't show up (don't show up)
Don't come out (don't come out)
Don't start caring about me now ('bout me now)
Walk away (walk away)
You know how (you know how)
Don't start caring about me now (so)

Up, up
Don't come out, out, out
Don't show up, up, up
Walk away, walk away (so)
Up, up
Don't come out, out, out
Don't show up, up, up
Walk away, walk away, oh
","Don't Start Now","Dua Lipa"
"10","Black leather glove, no sequins
Buckles on the jacket, it's Alyx shit
Nike crossbody, got a piece in it
Got a dance, but it's really on some street shit
I'ma show you how to get it

It go right foot up, left foot, slide
Left foot up, right foot, slide
Basically, I'm sayin' either way, we 'bout to slide, ayy
Can't let this one slide, ayy

Don't you wanna dance with me? No?
I could dance like Michael Jackson
I could give you thug passion
It's a Thriller in the trap where we from

Baby, don't you wanna dance with me? No?
I could dance like Michael Jackson
I could give you satisfaction
And you know we out here every day with it
I'ma show you how to get it

It go right foot up, left foot, slide
Left foot up, right foot, slide
Basically, I'm sayin', either way, we 'bout to slide, ayy
Can't let this one slide, ayy (Who's bad?)

2,000 shawties wanna tie the knot, ayy, yeah
200 shooters on my brother's block, whoa, yeah
Petal off a rose like I love her not, maybe not
I don't know what's wrong with me, I can't stop, whoa, yeah
Won't stop, whoa, yeah, never stop

Got so many opps, I be mistakin' opps for other opps
Got so many people that I love out of troubled spots
Other than the family I got, it's either you or me
That's just how I think, it's either you or me
This life got too deep for you, baby
Two or three of us about to creep where they stayin'

Black leather glove, no sequins
Buckles on the jacket, it's Alyx shit
Nike crossbody, got a piece in it
Got a dance, but it's really on some street shit
I'ma show you how to get it

It go right foot up, left foot, slide
Left foot up, right foot, slide
Basically, I'm sayin' either way, we 'bout to slide, ayy
Can't let this one slide, ayy (Who's bad?)

Toosie slide, then I hit it double-time
Then I hit a spin 'cause we spun their block a couple times
If it's not the right time, there'll always be another time
I'm not even trippin'
We'll just see 'em in the summertime, whoa, yeah

Can't describe the pressure I be puttin' on myself, yeah
Really, I just can't afford to lose nobody else, yeah
If they movin' shaky, we'll just do this shit ourselves, whoa
If I'm movin' shaky, Chubbs'll do this himself, yeah
Solo niggas, only YOLO, for real
Heard a lot about you but we don't know for real
Next time, guarantee the truth'll get revealed

Black leather gloves, no sequins, yeah
Buckles on the jacket, it's Alyx shit
Nike crossbody, got a piece in it
Got a dance, but it's really on some street shit
I'ma show you how

It go right foot up, left foot, slide
Left foot up, right foot, slide
Basically, I'm sayin' either way we 'bout to slide, ayy
Can't let this one slide, ayy

Don't you wanna dance with me? No?
I could dance like Michael Jackson (Jackson)
I could give you thug passion (Passion)
It's a Thriller in the trap where we from (Where we from)

Baby, don't you wanna dance with me? No?
I could dance like Michael Jackson (Jackson)
I could give you satisfaction ('Faction)
And you know we out here every day with it
I'ma show you how to get it

It go right foot up, left foot, slide
Left foot up, right foot, slide
Basically, I'm sayin' either way we 'bout to slide
(Who's bad?)
","Toosie Slide","Drake"
